"Trait","Microbial_Feature","Estimate","CI_Low","CI_High","Std_Error","T_value","P_value","P_adj","R2_Marginal","Heritability_h2","Var_Prop_Cage","Var_Prop_Dam"
"lesionArea","g_Bifidobacterium",-0.0703955711233805,-0.213400364316524,0.0726092220697627,0.0729616291801751,-0.964830033462413,0.334629950316017,0.535407920505627,0.184809685992626,0.375101132982343,1.47737679582491e-08,0.0192273087860172
"lesionArea","g_Coriobacteriaceae.UCG.002",-0.0708447969079206,-0.180037334539466,0.0383477407236249,0.0557104783834416,-1.2716601789041,0.203493884938895,0.395133757162902,0.185884648039581,0.375226872790728,0,0.0203584154288481
"lesionArea","g_Enterorhabdus",0.0815643278850477,-0.141693920152338,0.304822575922433,0.113907269406829,0.716059021604089,0.473954905416005,0.627754841610602,0.184740323126135,0.366812423705652,5.25985601701732e-10,0.0184055304450006
"lesionArea","g_Alistipes",0.125690039675487,-0.0193222040339531,0.270702283384928,0.0739858386272656,1.6988391563513,0.089349493610241,0.223373734025603,0.187702038302839,0.371640425629596,7.57879381711222e-10,0.0160304980933645
"lesionArea","g_Staphylococcus",0.160620526999801,-0.174002315746698,0.4952433697463,0.170725940176785,0.940809151986392,0.346802670011374,0.546310897544467,0.185197372245646,0.36726752509755,1.02682504473013e-08,0.0180586389921043
"lesionArea","g_Lactobacillus",0.0272134406387264,-0.109725434172938,0.164152315450391,0.0698667728630942,0.38950476061134,0.696902789705107,0.800400396254942,0.184103019180708,0.364561850330676,0,0.0229023494209302
"lesionArea","g_Lactococcus",0.0910466254780249,-0.124680485904283,0.306773736860333,0.110064852746076,0.827208897358663,0.408118669524385,0.571472034102386,0.18579912005705,0.353963114115083,0,0.02378240944589
"lesionArea","g_Clostridium.sensu.stricto.1",-0.161412870667212,-0.273322606242345,-0.049503135092078,0.0570968038648641,-2.82700361038144,0.00469857981479982,0.0234928990739991,0.199016345677843,0.344180087790052,1.88873672152439e-09,0.021209897936173
"lesionArea","g_Clostridium.sensu.stricto.13",-0.0688233849334531,-0.190194028022545,0.0525472581556382,0.0619237974944344,-1.11142061240089,0.26638734401995,0.476578118236886,0.187095846589527,0.357400447005083,1.35879684010551e-09,0.0182148084943115
"lesionArea","g_.Eubacterium..brachy.group",-0.0915069699026228,-0.383556266988235,0.20054232718299,0.149004743411027,-0.614121187069881,0.539135248591329,0.682449681761176,0.184286019693487,0.367330511758634,0,0.0229134467776898
"lesionArea","g_.Eubacterium..nodatum.group",-0.0258712671335814,-0.312573463412364,0.260830929145201,0.146276630754481,-0.176865347527762,0.859614158130773,0.912493752082136,0.183677891040669,0.365572483177508,0,0.0231274134249746
"lesionArea","g_A2",0.158354837881443,0.0477775245836397,0.268932151179246,0.0564169965805117,2.80686402111919,0.00500263540803836,0.0238220733716112,0.199733233112968,0.347735380185612,1.50272434297211e-10,0.0101515546691609
"lesionArea","g_Acetatifactor",0.16618056140959,0.0221565149009158,0.310204607918264,0.0734816563819765,2.26152443469348,0.0237268013587115,0.0826490241858996,0.193761654348013,0.358106125986157,0,0.0161589559887229
"lesionArea","g_Blautia",0.125005941450912,0.0100886432147772,0.239923239687048,0.058631274610273,2.13206931423267,0.0330011487984816,0.103128589995255,0.191541280631136,0.381276046965421,0,0
"lesionArea","g_GCA.900066575",0.130122132985001,-0.0383940726506178,0.29863833862062,0.0859776559365402,1.51344127224222,0.13016760805753,0.296596237188593,0.189745761406237,0.344671875345163,2.29569132907329e-10,0.0206798831469136
