SampleID,ID,Sex,ngen,Cage_ID,Dam_ID,folChol,liverTC,lesionArea,folGLC,folTG,shannon,faith_pd,observed_otus,UWU_PC1,UWU_PC2,UWU_PC3,WU_PC1,WU_PC2,WU_PC3,Bray_PC1,Bray_PC2,Bray_PC3,g_Bifidobacterium,g_Coriobacteriaceae UCG-002,g_Enterorhabdus,g_Alistipes,g_Staphylococcus,g_Lactobacillus,g_Lactococcus,g_Clostridium sensu stricto 1,g_Clostridium sensu stricto 13,g_[Eubacterium] brachy group,g_[Eubacterium] nodatum group,g_A2,g_Acetatifactor,g_Blautia,g_GCA-900066575,g_Lachnoclostridium,g_Lachnospiraceae FCS020 group,g_Lachnospiraceae NK4A136 group,g_Lachnospiraceae UCG-004,g_Lachnospiraceae UCG-006,g_Marvinbryantia,g_Roseburia,g_Tyzzerella,g_Romboutsia,g_Terrisporobacter,g_Anaerotruncus,g_GCA-900066225,g_Intestinimonas,g_Oscillibacter,g_Ruminiclostridium,g_Ruminiclostridium 5,g_Ruminiclostridium 9,g_Ruminococcaceae NK4A214 group,g_Ruminococcaceae UCG-010,g_UBA1819,g_Dubosiella,g_Erysipelatoclostridium,g_Faecalibaculum,g_Escherichia-Shigella,g_Akkermansia
517,517,Female,Wave 1,178558,101,971.7,17.96143506,129563,277.8,444,4.263784738,3.787582467,60,-0.156292178,-0.160166734,0.002388173,0.045689494,0.015625196,0.017102694,0.385557302,0.020641275,-0.130581305,1,1,40,39,15,1,1738,1,1,1,1,1192,98,63,24,187,1,346,1,35,1,1,21,1,1,1,1,1,54,41,25,135,1,1,1,1,1,5,1,1
518,518,Female,Wave 1,178558,101,602.7,14.80691779,29816,244.5,219,4.06316359,4.275545071,63,0.003183365,-0.017788833,0.136439325,0.110760294,-0.186277892,0.071450904,0.249907959,-0.046246878,0.011699548,1,1,47,14,1,1,606,1755,1,1,1,281,1,342,44,44,1,66,1,23,1,1,20,570,1,1,1,9,28,12,23,136,1,1,1,1,72,16,146,1
519,519,Male,Wave 1,178559,101,465,8.644038495,41818,286.5,168,4.513357887,5.405903892,90,-0.084054479,-0.05202414,-0.145692996,0.017682905,0.006126126,0.016898522,-0.039987517,0.078612258,0.142505033,1,128,21,4,3,1,429,1,1,13,6,512,4,317,41,180,1,44,1,54,1,213,20,1,1,1,1,31,81,94,47,117,1,1,1,1,266,1762,5,1
523,523,Male,Wave 1,178559,101,494.7,8.328891258,55903,251.1,261,3.153437484,4.601126914,66,0.007723797,0.027582313,-0.047563494,0.020824259,-0.009098337,0.005275415,-0.406570135,0.079598199,-0.046732068,19,655,8,6,1,1,48,1,241,9,4,8,1,1,20,50,1,12,1,1,186,1,11,1,1,1,1,4,20,3,5,35,10,1,1,1,112,3173,74,1
527,527,Female,Wave 1,178561,105,583.2,7.864657975,134184,193.8,258,1.553641463,2.560460206,20,0.085345316,-0.31996168,0.002702368,-0.067148898,0.002338569,-0.043640121,0.200994322,-0.186456847,-0.513862594,1,2,1,1,197,78,3445,1,1,1,1,8,1,18,1,1,1,1,1,1,1,1,1,11,1,1,1,1,4,1,1,1,1,1,1,1,5,21,1990,1
531,531,Male,Wave 1,178562,105,359.7,8.67754252,8530,314.7,123,4.901283969,4.553861144,70,-0.179510628,0.00415955,0.060647969,-0.021772773,0.032233265,0.015208548,0.221414835,0.14768512,0.155423589,1,1,68,83,1,20,459,1,1,1,1,727,75,1027,88,132,1,183,1,19,1,1,64,1,1,1,1,44,163,254,25,107,1,1,1,1,26,863,1,1
533,533,Female,Wave 1,178563,106,956.7,11.90854239,60335,244.2,300,3.691240907,3.771459425,58,-0.041589709,-0.098545625,0.013329964,0.053729895,-0.008773097,-0.004741486,-0.197373176,0.068266816,0.057996543,1,1,70,1,1,157,208,1,1,17,1,404,1,162,51,62,1,59,1,27,1,6,1,1,1,1,1,17,32,11,3,107,1,1,1,1,296,2522,136,1
534,534,Male,Wave 1,178564,106,309,6.1228606,6366,241.8,243,3.078336583,4.101631804,46,0.212242604,0.027310888,-0.171755951,0.009567351,-0.010742706,0.00416207,-0.395882644,0.030309326,-0.027412294,82,544,1,1,1,128,107,1,253,2,1,55,1,5,55,41,1,17,1,1,1,1,5,1,167,1,1,1,1,1,1,20,1,1,30,1,310,3097,84,1
537,537,Female,Wave 1,179163,116,627,9.213193293,24201,263.4,465,2.374082599,2.513832067,26,0.258549167,-0.109304966,0.248446696,-0.02120997,-0.009217093,-0.00636632,-0.420963574,0.014298731,-0.071735715,198,1,43,1,1,82,143,1,325,1,1,14,1,1,23,17,1,1,1,1,1,1,1,1,201,1,1,1,1,1,1,1,1,1,1,1,378,3774,134,1
541,541,Male,Wave 1,179164,116,360.3,9.439410092,37426,83.1,132,3.924676437,4.659815354,59,0.048007456,0.02343012,0.017249419,0.025741348,-0.001215494,0.025326031,0.095920298,-0.030512193,-0.060489764,9,75,20,16,1,3,1480,1,1,1,1,509,1,1,178,68,1,242,1,14,1,1,26,1,15,1,1,1,106,1,1,110,1,1,1,1,196,1029,32,1
542,542,Male,Wave 1,179164,116,324.9,8.884150675,5007,180.3,174,4.158991244,5.778291478,92,0.041652893,0.221448978,-0.139271454,0.012112452,-0.004215087,0.010798453,-0.224823519,0.106764042,0.055369343,135,247,3,1,1,4,285,10,11,4,1,267,1,65,226,125,1,149,1,21,1,117,28,1,8,1,3,1,70,6,16,115,5,1,43,1,147,2486,44,1
